filename,category,size,assay/units_raw,assay/units,key_words,publication_title,doi,year,license_link,license,sequence_sim
jain2017biophyscial_HICRT.csv,aggregation,137,HIC Retention Time (Min)a,HIC,"clinical stage therapeutic, Fv",Biophysical properties of the clinical-stage antibody landscape,https://doi.org/10.1073/pnas.1616408114,2017,none,none,0.1873636658
jain2017biophysical_ACSINS.csv,aggregation,137,Affinity-Capture Self-Interaction Nanoparticle Spectroscopy (AC-SINS) delta lambda max (nm) Average,ACSINS,"clinical stage therapeutic, Fv",Biophysical properties of the clinical-stage antibody landscape,https://doi.org/10.1073/pnas.1616408114,2017,none,none,0.1873636658
jain2017biophysical_CSIBLI.csv,aggregation,137,CSI-BLI Delta Response (nm),CSIBLI,"clinical stage therapeutic, Fv",Biophysical properties of the clinical-stage antibody landscape,https://doi.org/10.1073/pnas.1616408114,2017,none,none,0.1873636658
jain2017biophysical_SAS.csv,aggregation,137,Slope for Accelerated Stability,SAS,"clinical stage therapeutic, Fv",Biophysical properties of the clinical-stage antibody landscape,https://doi.org/10.1073/pnas.1616408114,2017,none,none,0.1873636658
jain2017biophysical_SGACSINS.csv,aggregation,137,SGAC-SINS AS100 ((NH4)2SO4 mM),SGACSINS,"clinical stage therapeutic, Fv",Biophysical properties of the clinical-stage antibody landscape,https://doi.org/10.1073/pnas.1616408114,2017,none,none,0.1873636658
jain2024assessment_ACSINS.csv,aggregation,43,AC-SINS delta lambda max (nm),ACSINS,"germline, Fv",Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,https://doi.org/10.1080/19420862.2024.2384104,2024,http://creativecommons.org/licenses/by-nc/4.0/,Attribution-NonCommercial 4.0 International,0.3842047012
jain2024assessment_CIC.csv,aggregation,43,CIC Column K,CIC,"germline, Fv",Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,https://doi.org/10.1080/19420862.2024.2384104,2024,http://creativecommons.org/licenses/by-nc/4.0/,Attribution-NonCommercial 4.0 International,0.3842047012
jain2024assessment_CSSINS.csv,aggregation,43,CS-SINS (ave),CSSINS,"germline, Fv",Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,https://doi.org/10.1080/19420862.2024.2384104,2024,http://creativecommons.org/licenses/by-nc/4.0/,Attribution-NonCommercial 4.0 International,0.3842047012
jain2024assessment_Fab_pI.csv,aggregation,43,Fab.pI,pI,"germline, Fv",Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,https://doi.org/10.1080/19420862.2024.2384104,2024,http://creativecommons.org/licenses/by-nc/4.0/,Attribution-NonCommercial 4.0 International,0.3842047012
jain2024assessment_HIC.csv,aggregation,43,HIC RT (min),HIC,"germline, Fv",Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,https://doi.org/10.1080/19420862.2024.2384104,2024,http://creativecommons.org/licenses/by-nc/4.0/,Attribution-NonCommercial 4.0 International,0.3842047012
jain2024assessment_SEC.csv,aggregation,43,SEC % Monomer,SEC,"germline, Fv",Assessment and incorporation of in vitro correlates to pharmacokinetic outcomes in antibody developability workflows,https://doi.org/10.1080/19420862.2024.2384104,2024,http://creativecommons.org/licenses/by-nc/4.0/,Attribution-NonCommercial 4.0 International,0.3842047012
